"species_gs","dbh","height","Code","AGB"
"PICE.GLA",36,24,"PICE.GLA",492.100755662371
"PICE.GLA",27,24,"PICE.GLA",283.071837720946
"PICE.GLA",28,27,"PICE.GLA",329.98709291197
"PICE.GLA",25,25,"PICE.GLA",251.850654877921
"PICE.GLA",26,25,"PICE.GLA",271.2262582563
"PICE.GLA",26,23,"PICE.GLA",255.814042840147
"POPU.BAL",46,31,"POPU.BAL",1032.45725106061
"POPU.BAL",49,29,"POPU.BAL",1101.71873691411
"PICE.GLA",36,32,"PICE.GLA",601.348568662606
"PICE.GLA",39,33,"PICE.GLA",715.44795031799
"POPU.BAL",20,NA,"POPU.BAL",116.16484594081
"BETU.PAP",18,NA,"BETU.PAP",123.811405827714
